Annotation1,Annotation2,ID
Zm00001d028771,Zm00001d028782,619
Zm00001d028777,Zm00001d028802,620
Zm00001d028779,Zm00001d028782,621
Zm00001d028779,Zm00001d028786,622
ENSRNA049473886,Zm00001d028786,623
Zm00001d028787,Zm00001d028793,624
Zm00001d028787,Zm00001d028795,625
Zm00001d028787,Zm00001d028797,626
Zm00001d028787,Zm00001d028801,627
Zm00001d028793,Zm00001d028795,628
Zm00001d028795,Zm00001d028797,629
Zm00001d028802,Zm00001d028819,630
Zm00001d028803,Zm00001d028804,631
Zm00001d028804,Zm00001d028806,632
Zm00001d028804,Zm00001d028810,633
Zm00001d028810,Zm00001d028812,634
Zm00001d028810,Zm00001d028813,635
Zm00001d028810,Zm00001d028818,636
Zm00001d028812,Zm00001d028813,637
Zm00001d028812,Zm00001d028818,638
Zm00001d028813,Zm00001d028818,639
Zm00001d028813,Zm00001d028825,640
Zm00001d028816,Zm00001d028818,641
Zm00001d028821,Zm00001d028823,642
Zm00001d028823,Zm00001d028825,643
Zm00001d028825,Zm00001d028827,644
Zm00001d028827,Zm00001d028829,645
Zm00001d028827,Zm00001d028841,646
Zm00001d028829,Zm00001d028830,647
Zm00001d028835,Zm00001d028837,648
Zm00001d028838,Zm00001d028840,649
Zm00001d028866,Zm00001d028896,650
Zm00001d028868,Zm00001d028875,651
Zm00001d028875,Zm00001d028946,652
Zm00001d022724,Zm00001d028890,653
Zm00001d028891,Zm00001d028895,654
Zm00001d028891,Zm00001d028898,655
Zm00001d028896,Zm00001d028898,656
Zm00001d028900,Zm00001d028901,657
Zm00001d028902,Zm00001d028915,658
Zm00001d028902,Zm00001d028910,659
Zm00001d028902,Zm00001d028907,660
Zm00001d028903,Zm00001d028907,661
Zm00001d028903,Zm00001d028905,662
Zm00001d028905,Zm00001d028907,663
Zm00001d028907,Zm00001d028910,664
Zm00001d028910,Zm00001d028912,665
Zm00001d028915,Zm00001d028918,666
Zm00001d028915,Zm00001d028925,667
Zm00001d028915,Zm00001d028918,668
Zm00001d028915,Zm00001d028916,669
Zm00001d028916,Zm00001d028918,670
Zm00001d028919,Zm00001d028924,671
Zm00001d028920,Zm00001d028921,672
Zm00001d028920,Zm00001d028924,673
Zm00001d028920,Zm00001d028929,674
Zm00001d028921,Zm00001d028924,675
Zm00001d028926,Zm00001d028936,676
Zm00001d028926,Zm00001d028948,677
Zm00001d022727,Zm00001d028929,678
Zm00001d028930,Zm00001d028948,679
Zm00001d028936,Zm00001d028946,680
Zm00001d028936,Zm00001d028939,681
Zm00001d022729,Zm00001d028939,682
Zm00001d028939,Zm00001d028946,683
Zm00001d028946,Zm00001d029004,684
Zm00001d028948,Zm00001d028967,685
Zm00001d028948,Zm00001d028973,686
Zm00001d028948,Zm00001d028981,687
Zm00001d028948,Zm00001d028949,688
Zm00001d028948,Zm00001d028954,689
Zm00001d028949,Zm00001d028951,690
Zm00001d028949,Zm00001d028967,691
Zm00001d022732,Zm00001d028954,692
Zm00001d028952,Zm00001d028953,693
