Gene,Expression
MH01g0141500,1.15843
MH01g0141600,0
MH01g0141700,0
MH01g0141800,6.93436
MH01g0141900,0
MH01g0142000,0
MH01g0142100,0
MH01g0142200,44.4372
MH01g0142300,0
MH01g0142400,0.138331
MH01g0142500,0
MH01g0142600,0
MH01g0142700,0
MH01g0142800,9.33909
MH01g0142900,64.6351
MH01g0143000,37.5232
MH01g0143100,8.7424
MH01g0143200,1.77698
MH01g0143300,0
MH01g0143400,1.53349
MH01g0143500,17.0388
MH01g0143600,31.4685
MH01g0143600,23.8315
MH01g0143700,0.0622077
MH01g0143800,16.9501
MH01g0143900,49.5658
MH01g0144000,0
MH01g0144100,346.376
MH01g0144200,1.958
MH01g0144300,0
MH01g0144400,0
MH01g0144500,1.52828
MH01g0144600,9.76011
MH01g0144700,3.82532
MH01g0144800,0.149983
MH01g0144900,3.506
MH01g0145000,0.497234
MH01g0145100,1.3097
MH01g0145200,0.982042
MH01g0145300,0.0219856
MH01g0145400,4.03515
MH01g0145500,6.47806
MH01g0145600,6.2118
MH01g0145700,5.41122
MH01g0145800,0
MH01g0145900,19.7931
MH01g0146000,13.7787
MH01g0146100,5.05269
MH01g0146200,0
MH01g0146300,7.6299
MH01g0146400,1.21392
MH01g0146500,8.74995
