ID,Annotation1,Annotation2
608,Zm00001d028294,Zm00001d022705
609,Zm00001d028294,Zm00001d028317
610,Zm00001d028294,Zm00001d028369
611,Zm00001d028297,Zm00001d028299
612,Zm00001d028297,Zm00001d028303
613,Zm00001d028297,Zm00001d028307
614,Zm00001d028298,Zm00001d028299
615,Zm00001d028298,Zm00001d028303
616,Zm00001d028299,Zm00001d028303
617,Zm00001d028299,Zm00001d028307
618,Zm00001d028303,Zm00001d028307
619,Zm00001d028303,Zm00001d028317
620,Zm00001d028303,Zm00001d028371
621,Zm00001d028312,Zm00001d028314
622,Zm00001d028312,Zm00001d028318
623,Zm00001d028314,Zm00001d028318
624,Zm00001d028317,Zm00001d028361
625,Zm00001d028317,Zm00001d028396
626,Zm00001d028317,Zm00001d028482
627,Zm00001d022706,Zm00001d028328
628,Zm00001d028318,Zm00001d028332
629,Zm00001d028319,Zm00001d028325
630,Zm00001d028319,Zm00001d028360
631,Zm00001d028320,Zm00001d028325
632,Zm00001d028320,Zm00001d028328
633,Zm00001d028323,Zm00001d028325
634,Zm00001d028325,Zm00001d028328
635,Zm00001d028325,Zm00001d028331
636,Zm00001d028332,Zm00001d028360
637,Zm00001d028332,Zm00001d028338
638,Zm00001d028333,Zm00001d028337
639,Zm00001d028339,Zm00001d028344
640,Zm00001d028344,Zm00001d028438
641,Zm00001d028344,Zm00001d028472
642,Zm00001d028347,Zm00001d028348
643,Zm00001d028347,Zm00001d028352
644,Zm00001d028347,Zm00001d028354
645,Zm00001d028347,Zm00001d028360
646,Zm00001d028349,Zm00001d028352
647,Zm00001d028349,Zm00001d028354
648,Zm00001d028354,Zm00001d028355
649,Zm00001d028354,Zm00001d028360
650,Zm00001d028355,Zm00001d028363
651,Zm00001d028355,Zm00001d028360
652,Zm00001d028356,Zm00001d028357
653,Zm00001d028356,Zm00001d028358
654,Zm00001d028358,Zm00001d028369
655,Zm00001d028358,Zm00001d028372
656,Zm00001d028358,Zm00001d028360
657,Zm00001d028367,Zm00001d028368
658,Zm00001d028367,Zm00001d028369
659,Zm00001d028369,Zm00001d028400
660,Zm00001d028369,Zm00001d028427
661,Zm00001d028369,Zm00001d028472
662,Zm00001d028369,Zm00001d028482
663,Zm00001d028369,Zm00001d028565
664,Zm00001d028369,Zm00001d028827
665,Zm00001d028370,Zm00001d028377
666,Zm00001d028370,Zm00001d028371
667,Zm00001d028372,Zm00001d028377
668,Zm00001d028372,Zm00001d028388
669,Zm00001d028372,Zm00001d028427
670,Zm00001d028372,Zm00001d028384
671,Zm00001d028373,Zm00001d028377
672,Zm00001d028374,Zm00001d028377
673,Zm00001d028380,Zm00001d028384
674,Zm00001d028384,Zm00001d028391
675,Zm00001d028384,Zm00001d028392
676,Zm00001d028384,Zm00001d028398
677,Zm00001d028384,Zm00001d028406
678,Zm00001d028385,Zm00001d028386
679,Zm00001d028389,Zm00001d028405
680,Zm00001d028392,Zm00001d028396
681,Zm00001d028392,Zm00001d028398
682,Zm00001d028396,Zm00001d028400
683,Zm00001d028396,Zm00001d028398
684,Zm00001d028396,Zm00001d022709
685,Zm00001d028398,Zm00001d022709
686,Zm00001d022709,Zm00001d028400
687,Zm00001d022709,Zm00001d028399
688,Zm00001d028399,Zm00001d028400
689,Zm00001d028399,Zm00001d028405
690,Zm00001d028400,Zm00001d028405
691,Zm00001d022710,Zm00001d028402
692,Zm00001d028402,Zm00001d028405
693,Zm00001d028405,Zm00001d028410
694,Zm00001d028409,Zm00001d028410
695,Zm00001d028409,Zm00001d028412
696,Zm00001d028412,Zm00001d028413
697,Zm00001d028412,Zm00001d028414
698,Zm00001d028424,Zm00001d028425
699,Zm00001d028424,Zm00001d028426
700,Zm00001d028425,Zm00001d028426
701,Zm00001d028426,Zm00001d028428
702,Zm00001d028429,Zm00001d028436
